SMILES,T(k),P(Mpa),x1,y1,ESP_max_pos,ESP_max_neg,r_peak,g_peak,SDF_folder,solvent_type
CC(C)OC(C)C,253.15,0.321,0.1508,0.995483,NaN,NaN,NaN,NaN,NaN,ether
CC(C)OC(C)C,253.15,0.423,0.2028,0.996418,NaN,NaN,NaN,NaN,NaN,ether
CC(C)OC(C)C,253.15,0.623,0.3019,0.997713,NaN,NaN,NaN,NaN,NaN,ether
CC(C)OC(C)C,253.15,0.795,0.3817,0.998186,NaN,NaN,NaN,NaN,NaN,ether
CC(C)OC(C)C,253.15,1.063,0.5184,0.998663,NaN,NaN,NaN,NaN,NaN,ether
CC(C)OC(C)C,253.15,1.217,0.5748,0.998852,NaN,NaN,NaN,NaN,NaN,ether
CC(C)OC(C)C,253.15,1.402,0.6916,0.99907,NaN,NaN,NaN,NaN,NaN,ether
CC(C)OC(C)C,253.15,1.559,0.7842,0.999175,NaN,NaN,NaN,NaN,NaN,ether
CC(C)OC(C)C,253.15,1.608,0.8221,0.999281,NaN,NaN,NaN,NaN,NaN,ether
CC(C)OC(C)C,253.15,1.702,0.8778,0.999346,NaN,NaN,NaN,NaN,NaN,ether
CC(C)OC(C)C,253.15,1.757,0.9165,0.999531,NaN,NaN,NaN,NaN,NaN,ether
C(C(CO)O)O,353.2,6.55,0.019,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,353.2,7.35,0.03,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,353.2,9.66,0.045,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,353.2,22.63,0.075,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,353.2,25.58,0.089,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,393.2,4.21,0.019,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,393.2,9.5,0.03,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,393.2,13.28,0.041,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,393.2,17.24,0.062,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,393.2,23.85,0.075,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,393.2,27.76,0.089,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,423.2,4.89,0.019,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,423.2,13.94,0.031,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,423.2,18.52,0.045,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,423.2,24.12,0.062,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,423.2,29.25,0.075,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(C(CO)O)O,423.2,31.75,0.089,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,263.15,0.16,0.0069,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,263.15,0.69,0.031,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,263.15,0.83,0.0359,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,263.15,2.69,0.1301,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,263.15,3.71,0.1251,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,263.15,8.23,0.1308,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,263.15,12.27,0.1354,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,263.15,24.99,0.1435,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,273.15,0.48,0.0165,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,273.15,1.04,0.0369,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,273.15,1.74,0.0609,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,273.15,3.54,0.1199,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,273.15,7.3,0.1253,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,273.15,11.98,0.1303,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,273.15,17.73,0.1337,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,273.15,25.92,0.135,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,283.15,0.59,0.0172,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,283.15,1.61,0.0474,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,283.15,3.52,0.0981,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,283.15,4.52,0.1226,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,283.15,16.57,0.1327,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,283.15,20.33,0.1339,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,297.15,0.49,0.0109,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,297.15,1.01,0.0193,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,297.15,6.46,0.1135,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,297.15,10.43,0.1202,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,297.15,17.84,0.1267,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,297.15,27.07,0.1308,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,323.15,0.43,0.007,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
C(CO)O,323.15,0.45,0.0069,NaN,NaN,NaN,NaN,NaN,NaN,alcohol
